,address,price,bed,bath,floorArea,propertyTape
39,"84 Cois Luachra, Dooradoyle, Co. Limerick",215000.0,4 Bed, 3 Bath, 105 m², Duplex
40,"Apartment 112, The Matthew, The Strand, Limerick City, Co. Limerick",345000.0,2 Bed, 2 Bath, 72 m², Apartment
41,"7 Heron Court, North Circular Road, North Circular Road, Co. Limerick",400000.0,4 Bed, 2 Bath, 124 m², Semi-D
42,"16 Belfield Park, Ennis Road, Ennis Road, Co. Limerick",295000.0,3 Bed, 1 Bath, 84 m², Semi-D
43,"Apartment 302, Castle Court Apartments, Limerick City, Co. Limerick",150000.0,3 Bed, 2 Bath, 72 m², Apartment
44,"148 Dooradoyle Park, Dooradoyle, Dooradoyle, Co. Limerick",189000.0,2 Bed, 2 Bath, 75 m², Apartment
45,"14 Monabraher Road, Ballynanty, Co. Limerick",125000.0,"(0,)","(0,)","(0,)","(0,)"
46,"Apartment 402, Richmond Court, Mount Kenneth Place, Limerick City, Co. Limerick",140000.0,2 Bed, 2 Bath, 61 m², Apartment
47,"Laurel Ville, Mill Road, Corbally, Co. Limerick",695000.0,6 Bed, 5 Bath, 348 m², Detached
48,"Apartment 16, Richmond Court, Mount Kennett Place, Limerick City, Co. Limerick",125000.0,"(0,)","(0,)","(0,)","(0,)"
49,"48 Kilteragh, Dooradoyle, Co. Limerick",299000.0,"(0,)","(0,)","(0,)","(0,)"
50,"1A Violet Cottages, Cross Road, Thomondgate, Co. Limerick",175000.0,3 Bed, 2 Bath, 98 m², Terrace
51,"31 The Park, Rosmor, Ballyneaty Road, Limerick City, Co. Limerick",270000.0,3 Bed, 3 Bath, 96 m², Semi-D
52,"Apartment 102, Newtown House, Limerick City, Co. Limerick",175000.0,2 Bed, 2 Bath, 64 m², Apartment
53,"28 Castle Court, Clancy, Strand, Co. Limerick",215000.0,2 Bed, 1 Bath, 64 m², Apartment
54,"5 Island View Terrace, Limerick City, Co. Limerick",130000.0,2 Bed, 1 Bath, 60 m², Terrace
55,"Apartment 35, Grove Island Student Village, Grove Island, Corbally, Co. Limerick",149000.0,4 Bed, 4 Bath, 91 m², Apartment
56,"17 Pery Square, Limerick City, Co. Limerick",0.0,3 Bed, 1 Bath, 118 m², Semi-D
57,"2 St. Augustine, Limerick City, Co. Limerick",199000.0,2 Bed, 2 Bath, 70 m², Terrace
58,"46 Cúl Crannagh, Dooradoyle Road, Limerick City, Co. Limerick",340000.0,"(0,)","(0,)","(0,)","(0,)"
59,"84 Cois Luachra, Dooradoyle, Co. Limerick",215000.0,4 Bed, 3 Bath, 105 m², Duplex
